Id,Product Name,Energy (kcal),Total Fat (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fiber (g),Protein (g),Salt (g),Calcium (mg)
337,2% Milk,69,5.47,0.8,4.12,5.79,0.25,6.66,0.35,147
338,Skim Milk,40,0.77,4.64,3.9,6.29,0.53,7.94,0.49,131
339,Coconut Milk,57,2.95,2.58,10.27,2.9,0.72,1.54,0.39,100
340,Almond Milk,47,3.17,4.58,7.07,7.97,0.77,6.0,0.45,122
341,2% Milk,74,4.9,3.07,9.41,5.8,0.12,7.25,0.38,128
342,Cashew Milk,75,4.58,2.17,1.52,3.43,0.27,4.91,0.66,82
343,Cashew Milk,47,3.91,2.13,5.87,6.21,0.88,7.03,0.14,90
344,Cashew Milk,40,7.26,2.89,2.67,4.75,0.54,2.83,0.01,109
345,Soy Milk,59,7.57,1.89,4.14,1.9,0.39,2.67,0.74,148
346,2% Milk,47,3.42,3.94,11.14,4.22,0.49,7.1,0.04,130
347,Almond Milk,64,4.9,4.99,1.02,1.59,0.1,2.96,0.98,142
348,Skim Milk,65,2.06,1.4,4.56,3.64,0.76,4.63,0.96,99
349,Coconut Milk,51,6.14,4.14,3.55,6.98,0.9,1.65,0.22,88
350,Whole Milk,48,4.01,4.39,10.49,5.51,0.53,5.42,0.3,82
351,2% Milk,42,0.87,4.98,2.18,8.01,0.17,1.42,0.93,137
352,Whole Milk,59,4.2,0.14,4.56,3.91,0.88,3.67,0.44,85
353,Soy Milk,64,3.8,2.0,10.46,2.67,0.29,6.28,0.65,118
354,2% Milk,65,4.55,2.15,5.05,8.73,0.26,4.17,0.61,87
355,2% Milk,72,0.59,4.63,5.68,6.81,0.35,2.48,0.72,134
356,2% Milk,72,4.51,3.54,2.64,7.18,0.46,7.81,0.6,147
357,Cashew Milk,59,1.81,4.38,6.48,7.28,0.87,2.67,0.16,90
358,Oat Milk,70,3.81,1.79,7.95,8.89,0.87,5.67,0.36,91
359,Oat Milk,59,5.28,1.98,7.23,6.5,0.62,7.34,0.29,86
360,Oat Milk,43,7.74,1.13,3.99,4.32,0.18,6.42,0.39,125
361,Almond Milk,42,4.3,2.89,8.52,1.17,0.72,5.01,0.89,98
362,2% Milk,51,1.14,4.18,9.96,0.79,0.31,1.85,0.82,116
363,Skim Milk,75,1.2,4.5,11.37,7.56,0.9,7.14,0.5,126
364,Cashew Milk,53,3.07,1.48,2.93,9.69,0.42,5.82,0.22,119
365,Skim Milk,54,4.15,1.71,11.26,9.31,0.52,5.71,0.97,150
366,Almond Milk,49,3.8,2.24,10.17,5.56,0.6,7.8,0.27,117
367,Whole Milk,61,2.06,1.36,9.79,1.11,0.55,1.64,0.82,150
368,Coconut Milk,76,4.12,3.3,7.96,4.44,0.21,7.64,0.76,110
369,Cashew Milk,51,3.05,1.17,5.89,8.87,0.78,6.96,0.69,112
370,Skim Milk,58,0.95,0.25,8.1,1.92,0.89,4.98,0.84,145
371,Almond Milk,80,6.46,3.87,5.66,2.79,0.96,6.4,0.82,143
372,Cashew Milk,44,7.48,1.13,5.06,2.78,0.45,1.51,0.82,129
373,Oat Milk,44,6.55,2.55,5.62,7.47,0.76,6.91,0.46,82
374,Whole Milk,75,3.93,4.79,1.86,3.71,0.79,4.23,0.15,102
375,Cashew Milk,70,6.37,2.87,2.87,5.54,0.35,7.1,0.24,144
376,Skim Milk,46,4.95,0.96,6.39,2.72,0.36,5.01,0.12,115
377,Almond Milk,68,4.96,2.2,8.43,8.87,0.28,3.5,0.55,132
378,Coconut Milk,76,1.86,4.77,7.32,1.89,0.88,3.53,0.35,125
379,2% Milk,68,3.25,4.57,10.65,5.99,0.92,7.79,0.76,131
380,Skim Milk,58,4.28,3.06,1.93,6.2,0.91,1.03,0.13,81
381,Cashew Milk,44,3.23,4.28,4.47,6.44,0.05,5.24,0.37,98
382,Soy Milk,62,3.45,2.59,10.81,0.89,0.38,6.96,0.66,85
383,Whole Milk,69,3.35,3.8,4.07,7.83,0.13,1.21,0.48,119
384,Almond Milk,42,4.87,3.27,9.58,7.38,0.96,7.63,0.83,139
385,Skim Milk,58,7.97,2.07,11.07,8.96,0.3,5.95,0.6,84
386,Cashew Milk,47,2.48,0.19,5.53,1.03,0.47,3.64,0.61,135
387,Cashew Milk,78,7.7,1.7,8.78,6.94,0.56,3.75,0.85,150
388,Skim Milk,66,4.86,2.52,2.37,2.71,0.52,2.85,0.46,97
389,Skim Milk,68,5.0,0.38,3.52,6.6,0.1,5.13,0.3,81
390,Almond Milk,70,0.98,1.12,4.15,9.28,0.8,4.5,0.21,99
391,Cashew Milk,72,4.57,3.96,1.16,9.17,0.62,4.6,0.71,136
392,Oat Milk,67,4.17,4.52,1.77,7.86,0.91,5.18,0.86,104
393,Whole Milk,58,5.96,0.54,6.2,8.41,0.45,5.86,0.47,113
394,2% Milk,61,7.81,1.08,11.53,0.7,0.02,4.0,0.89,149
395,Oat Milk,62,1.64,4.1,2.54,0.72,0.83,6.8,0.62,140
396,Soy Milk,73,5.81,0.85,8.26,7.54,0.96,6.29,0.97,102
397,Whole Milk,46,6.42,1.46,8.36,1.72,0.08,6.83,0.33,85
398,2% Milk,63,0.52,2.57,4.17,4.52,0.86,5.55,0.2,150
399,Whole Milk,78,4.04,2.2,5.49,5.71,0.27,3.32,0.95,80
400,Cashew Milk,77,3.22,3.6,10.28,7.51,0.24,5.34,0.8,149
401,Skim Milk,45,0.98,3.99,3.3,0.56,0.02,5.41,0.98,130
402,Oat Milk,62,7.86,3.44,8.88,1.3,0.08,7.73,0.17,90
403,Soy Milk,46,7.92,4.44,2.96,8.01,0.79,4.97,0.67,143
404,Skim Milk,78,2.87,0.55,8.36,7.99,0.36,7.75,0.4,130
405,Almond Milk,62,4.4,3.15,1.9,4.29,0.19,3.93,0.56,81
406,2% Milk,56,6.49,4.28,9.17,6.53,0.84,3.97,0.87,131
407,Cashew Milk,76,2.2,4.09,1.49,3.46,0.61,1.77,0.4,92
408,Oat Milk,50,4.12,4.59,8.54,0.95,0.39,5.1,0.36,115
409,Skim Milk,51,0.77,1.52,4.17,8.1,0.92,3.69,0.17,110
410,Oat Milk,43,3.37,0.37,7.36,2.15,0.73,5.21,0.43,116
411,Whole Milk,47,3.1,2.94,5.67,5.1,0.68,4.2,0.96,147
412,Soy Milk,59,4.07,1.17,11.04,8.77,0.51,5.09,0.32,96
413,Oat Milk,61,1.69,2.32,4.65,1.23,0.48,5.24,0.56,146
414,Skim Milk,43,3.91,1.18,11.54,5.54,0.52,4.2,0.1,132
415,2% Milk,61,7.47,4.47,4.15,7.4,0.72,7.17,0.43,92
416,2% Milk,73,0.89,0.6,7.69,3.34,0.61,2.66,0.78,131
417,Skim Milk,55,5.44,0.52,4.35,5.11,0.86,7.6,0.4,92
418,Oat Milk,48,3.57,3.18,4.3,4.17,0.82,5.48,0.91,92
419,Coconut Milk,63,5.67,2.45,3.25,7.16,0.32,5.41,0.03,114
420,Almond Milk,78,2.0,0.49,11.36,1.76,0.85,5.14,0.45,140
421,Soy Milk,61,7.28,4.81,11.71,3.55,0.07,1.62,0.26,130
422,Oat Milk,59,2.25,4.35,11.0,6.49,0.98,1.94,0.08,122
423,Coconut Milk,57,7.06,1.41,11.49,1.02,0.95,6.6,0.72,82
424,2% Milk,72,2.83,0.89,7.48,1.56,0.59,6.31,0.64,134
425,Soy Milk,72,3.16,0.16,8.01,2.62,0.22,4.45,0.2,117
426,Almond Milk,41,1.0,2.95,2.62,0.53,0.77,3.36,0.35,92
427,Soy Milk,46,2.86,3.39,1.9,7.43,0.93,1.66,0.07,95
428,Coconut Milk,43,1.29,2.63,9.68,2.86,0.15,6.43,0.2,137
429,Soy Milk,41,2.46,1.53,10.53,3.07,0.83,6.36,0.71,139
430,Oat Milk,71,2.19,1.83,11.27,5.4,0.06,3.39,0.97,149
431,Cashew Milk,63,2.48,2.44,2.12,6.57,0.95,2.61,0.78,109
432,Oat Milk,47,5.99,3.43,6.14,8.52,0.98,6.54,0.13,111
433,Cashew Milk,67,6.24,2.64,9.17,8.43,0.21,5.36,0.81,103
434,Whole Milk,48,5.82,1.15,2.97,4.17,0.41,5.38,0.17,104
435,Coconut Milk,65,6.19,4.62,9.95,9.16,0.73,2.56,0.29,128
436,Oat Milk,77,4.2,3.07,5.26,7.77,0.5,7.03,0.35,109
437,Soy Milk,70,4.23,3.07,8.28,1.88,0.95,1.17,0.17,149
438,Soy Milk,63,5.51,4.67,9.44,9.86,0.45,3.03,0.3,109
439,Coconut Milk,65,3.59,0.27,5.6,4.87,0.56,2.81,0.56,94
440,Oat Milk,42,5.67,4.7,5.33,3.94,0.21,2.06,0.12,143
441,2% Milk,43,7.12,1.02,7.01,2.07,0.92,1.63,0.74,118
442,Cashew Milk,58,2.9,1.4,10.08,4.93,0.16,2.83,0.92,93
443,Whole Milk,50,6.93,4.33,7.49,8.38,0.32,2.83,0.94,134
444,Whole Milk,56,7.63,1.01,10.24,1.85,0.24,7.98,0.65,88
445,Cashew Milk,40,1.45,4.11,5.14,1.76,0.78,6.76,0.36,130
446,Oat Milk,75,3.32,4.41,9.26,2.47,0.16,6.84,0.97,140
447,Oat Milk,61,1.42,1.64,7.94,4.62,0.46,7.78,0.28,98
448,Soy Milk,62,0.73,2.62,10.54,3.62,0.65,3.12,0.49,141
449,Cashew Milk,62,3.72,1.88,1.39,2.23,0.43,6.59,0.61,143
450,Skim Milk,50,1.71,3.58,3.61,8.59,0.36,1.5,0.59,121
451,Soy Milk,75,4.85,4.44,7.24,0.76,0.6,7.26,0.55,87
452,Oat Milk,61,0.8,4.95,3.4,4.67,0.57,5.47,0.18,80
453,Cashew Milk,61,1.4,4.58,11.8,1.36,0.17,6.52,0.5,118
454,Coconut Milk,71,3.36,4.59,9.86,3.24,0.2,1.96,0.3,114
455,2% Milk,65,0.92,2.04,3.71,9.5,0.49,7.9,0.38,83
456,Almond Milk,72,2.17,2.59,1.38,4.13,0.58,4.91,0.44,109
457,Almond Milk,64,2.89,4.58,2.67,6.85,0.06,2.5,0.21,142
458,Oat Milk,78,6.55,3.55,9.29,0.57,0.21,2.22,0.6,140
459,Cashew Milk,52,3.91,2.76,2.67,4.17,0.01,2.95,0.56,128
460,Whole Milk,44,7.39,0.95,11.89,8.0,0.44,5.41,0.25,138
461,Oat Milk,73,4.3,3.28,1.23,1.02,0.99,4.49,0.24,120
462,Oat Milk,73,7.25,2.92,3.29,1.71,0.58,1.52,0.72,99
463,Coconut Milk,80,6.59,4.32,1.21,4.53,0.26,2.5,0.41,93
464,Almond Milk,80,2.33,2.13,5.95,5.08,0.82,3.17,0.04,83
465,Cashew Milk,69,3.19,1.79,4.7,0.97,0.9,1.55,0.87,104
466,Whole Milk,69,7.87,2.23,9.67,2.35,0.18,5.35,0.56,107
467,Almond Milk,77,5.96,1.85,6.27,1.41,0.38,7.45,0.23,132
468,Skim Milk,63,2.6,3.21,4.98,2.34,1.0,5.51,0.23,103
469,Oat Milk,58,3.54,3.31,3.84,5.04,0.52,6.61,0.82,108
470,Skim Milk,52,7.2,4.39,11.33,4.82,0.3,7.53,0.76,147
471,Whole Milk,46,1.42,1.5,3.39,7.42,0.15,6.71,0.19,111
472,Almond Milk,62,1.69,4.39,3.09,5.84,0.92,3.86,0.56,145
473,Cashew Milk,78,1.28,0.48,1.9,3.68,0.62,1.04,0.73,109
474,Skim Milk,50,7.78,3.83,8.46,5.14,0.65,2.65,0.54,112
475,Soy Milk,50,6.76,4.13,8.85,4.51,0.53,4.39,0.78,145
476,Coconut Milk,76,7.11,4.69,4.62,9.63,0.4,1.79,0.83,86
477,Oat Milk,43,5.67,3.48,11.05,3.45,0.46,6.17,0.54,94
478,2% Milk,66,4.88,2.69,1.82,4.17,0.04,2.21,0.46,93
479,Soy Milk,43,4.69,3.27,8.92,5.56,0.2,2.76,0.0,121
480,Skim Milk,42,7.69,3.4,6.57,5.44,0.34,3.83,0.76,130
481,Cashew Milk,49,3.63,3.88,3.83,9.04,0.46,3.15,0.31,84
482,Skim Milk,69,2.99,4.87,6.98,2.44,0.13,2.27,0.04,92
483,Whole Milk,69,1.89,3.84,4.8,7.02,0.01,2.43,0.1,118
484,Almond Milk,43,6.13,2.07,8.4,6.8,0.53,4.31,0.75,129
485,Coconut Milk,71,0.66,1.87,7.78,4.65,0.69,1.21,0.94,97
486,Almond Milk,74,2.95,4.94,5.01,4.31,0.15,5.91,0.9,116
487,Soy Milk,66,5.68,1.79,5.57,3.01,0.55,5.26,0.63,140
488,Skim Milk,50,5.18,0.72,8.91,3.4,0.05,2.27,0.27,131
489,Whole Milk,78,2.95,1.71,10.74,7.51,0.81,3.79,0.52,80
490,Oat Milk,41,1.5,1.77,8.22,5.42,0.47,7.13,0.2,85
491,Oat Milk,49,6.05,2.27,1.2,1.98,0.64,7.44,0.35,96
492,Coconut Milk,48,1.51,1.36,2.47,2.32,0.67,5.38,0.3,86
493,2% Milk,79,4.48,2.62,4.72,5.9,0.29,5.28,0.28,115
494,Almond Milk,56,5.33,3.93,8.77,7.3,0.53,5.47,0.61,88
495,Coconut Milk,65,7.1,3.41,1.59,7.24,0.49,6.06,0.68,130
496,Coconut Milk,44,7.43,4.97,10.8,5.71,0.1,1.21,0.54,107
497,Soy Milk,73,5.06,0.48,2.94,5.96,0.44,2.99,0.48,99
498,Soy Milk,68,6.54,0.15,4.84,1.51,0.81,5.52,0.92,87
499,Almond Milk,48,1.89,2.1,1.57,5.08,0.42,1.15,0.01,150
500,Oat Milk,70,2.95,0.9,2.09,0.69,0.55,7.17,0.61,135
501,Skim Milk,54,6.96,4.59,3.29,2.08,0.42,7.33,0.03,96
502,Coconut Milk,79,7.08,3.16,2.4,2.92,0.65,1.65,0.33,110
503,Cashew Milk,51,5.52,1.88,7.46,4.37,0.63,1.53,0.7,110
504,Almond Milk,48,3.45,2.47,10.79,3.82,0.53,1.26,0.74,81
505,2% Milk,61,2.2,3.04,6.65,1.77,0.41,4.7,0.06,146
506,Skim Milk,43,7.51,4.83,11.79,6.18,0.64,6.31,0.24,146
507,Skim Milk,49,7.55,1.0,11.54,7.27,0.77,5.05,0.6,116
508,Oat Milk,61,3.23,3.69,4.12,2.89,0.16,3.3,0.43,88
509,2% Milk,66,2.04,4.82,7.54,4.53,0.75,5.73,0.15,111
510,Soy Milk,62,5.73,2.44,6.65,7.99,0.52,6.44,0.2,126
511,Skim Milk,66,4.75,4.99,2.0,2.01,0.13,7.44,0.79,132
512,Soy Milk,70,2.31,4.93,1.11,5.68,0.99,2.29,0.81,129
513,Oat Milk,55,3.66,0.57,3.67,9.84,0.57,2.34,0.37,88
514,Oat Milk,52,2.13,4.55,4.74,0.95,0.22,4.35,1.0,86
515,Cashew Milk,41,2.86,1.16,3.31,0.53,0.22,6.62,0.78,144
516,Soy Milk,60,0.73,1.67,5.61,2.93,0.34,6.3,0.49,101
517,Soy Milk,71,0.84,2.16,6.92,8.82,0.35,7.1,0.3,97
518,Skim Milk,50,3.16,4.18,8.56,4.34,0.19,6.97,0.54,144
519,Almond Milk,52,6.0,0.35,3.11,8.43,0.2,6.95,0.27,120
520,Oat Milk,60,6.71,4.66,4.52,8.02,0.22,4.4,0.03,96
521,Almond Milk,65,2.15,3.61,11.61,6.29,0.3,4.45,0.48,84
522,Cashew Milk,67,7.12,4.72,3.32,6.32,0.42,3.12,0.1,135
523,2% Milk,68,3.65,4.27,8.34,7.22,0.11,7.73,0.37,119
524,Almond Milk,65,4.03,1.94,3.58,9.62,0.52,5.48,0.18,84
525,2% Milk,68,4.72,3.26,9.05,3.73,0.36,3.82,0.89,131
526,Oat Milk,63,0.98,4.79,9.83,7.8,0.88,6.48,0.19,140
527,Whole Milk,65,2.68,2.57,3.86,3.09,0.37,7.96,0.17,119
528,Cashew Milk,42,1.76,1.2,7.28,4.84,0.51,5.79,0.33,88
529,Coconut Milk,72,4.03,2.76,6.52,9.71,0.9,3.35,0.79,130
530,Coconut Milk,79,2.32,2.7,2.98,4.43,0.52,4.34,0.97,135
531,2% Milk,76,7.6,0.56,10.34,2.02,1.0,6.91,0.55,109
532,Whole Milk,74,3.85,4.82,6.47,2.45,0.35,1.66,0.66,93
533,Skim Milk,78,5.67,3.23,9.84,1.82,0.55,5.3,0.29,127
534,Whole Milk,63,7.6,1.77,11.72,3.94,0.88,4.27,0.83,133
535,Skim Milk,45,6.94,1.7,9.81,6.47,0.2,1.85,0.86,140
536,Coconut Milk,42,5.82,2.94,11.53,4.75,0.15,5.83,0.72,147
537,Soy Milk,69,2.52,3.1,9.6,1.84,0.07,1.71,0.78,149
538,Oat Milk,78,4.98,0.81,4.27,1.61,0.29,3.05,0.03,114
539,Coconut Milk,41,2.89,3.44,11.65,2.83,0.8,4.09,0.63,130
540,Whole Milk,75,2.22,0.69,7.25,8.06,0.34,4.07,0.96,109
541,Whole Milk,40,1.09,0.36,9.79,4.87,0.36,3.95,0.64,150
542,Cashew Milk,53,4.3,3.93,10.79,2.87,0.19,5.19,0.85,148
543,Whole Milk,49,4.93,4.91,9.75,3.62,0.17,5.08,0.55,138
544,Cashew Milk,54,5.24,3.45,9.06,1.08,0.3,5.56,0.94,107
545,Cashew Milk,60,7.32,3.32,1.01,6.33,0.25,3.85,0.18,122
546,Soy Milk,47,3.75,0.23,11.16,8.82,0.11,6.87,0.41,109
547,2% Milk,68,1.4,4.67,11.86,6.43,0.84,4.4,0.34,101
548,Soy Milk,51,7.61,1.38,9.18,4.58,0.31,6.34,0.14,103
549,Almond Milk,57,1.36,1.36,11.57,7.69,0.87,2.53,0.68,121
550,Almond Milk,80,3.88,4.92,1.77,9.39,0.07,5.56,0.08,122
551,2% Milk,77,4.31,1.03,1.55,8.15,0.96,3.72,0.48,130
552,2% Milk,65,6.15,3.39,9.03,5.7,0.92,1.28,0.48,128
553,Coconut Milk,58,3.58,2.53,9.09,6.06,0.85,4.31,0.17,102
554,Cashew Milk,62,4.7,0.88,2.67,0.93,1.0,1.81,0.01,144
555,2% Milk,53,7.08,4.9,2.05,4.4,0.48,6.5,0.52,94
556,Whole Milk,44,5.91,3.74,6.32,8.41,0.55,2.66,0.12,83
557,Cashew Milk,62,0.57,1.57,4.23,3.81,0.26,4.93,0.43,134
558,Whole Milk,67,0.74,2.2,9.81,5.8,0.49,7.14,0.66,136
559,Almond Milk,45,7.19,1.85,5.26,8.93,0.58,3.83,0.04,91
560,Almond Milk,80,6.79,4.88,5.83,2.23,0.2,4.73,0.83,117
561,Soy Milk,50,1.55,0.8,11.24,3.17,0.66,4.59,0.1,107
562,2% Milk,56,0.94,0.65,9.67,0.66,0.27,3.14,0.85,135
563,Skim Milk,41,5.98,3.37,11.43,7.18,0.79,7.58,0.6,131
564,Oat Milk,67,2.74,4.44,3.21,3.22,0.77,5.6,0.21,140
565,Coconut Milk,55,3.6,4.96,5.37,2.48,0.16,1.21,0.48,150
566,Cashew Milk,66,3.11,1.86,4.95,8.1,0.82,2.43,0.7,143
567,Oat Milk,49,6.22,4.68,7.0,2.2,0.91,5.0,0.15,99
568,2% Milk,66,2.41,4.5,2.53,9.64,0.17,3.74,0.36,114
569,Soy Milk,47,7.45,1.36,6.44,4.33,0.31,5.14,0.1,136
570,Soy Milk,47,7.6,2.11,4.0,9.75,0.74,4.11,0.7,103
571,2% Milk,67,5.41,2.69,1.69,6.18,0.92,5.38,0.97,123
572,Coconut Milk,44,2.97,2.15,1.08,6.31,0.9,1.79,0.46,131
573,Skim Milk,56,6.25,1.77,5.13,8.8,0.46,6.75,0.24,143
574,Almond Milk,67,2.35,3.39,2.99,2.85,0.55,3.1,0.23,92
575,Whole Milk,51,5.49,2.68,2.62,6.35,0.45,1.44,0.22,91
576,Soy Milk,53,6.96,3.36,6.42,7.09,0.88,6.15,0.99,89
577,Almond Milk,62,6.87,1.8,2.55,2.67,0.38,7.33,0.97,96
578,Cashew Milk,51,6.13,1.73,9.92,3.27,0.02,5.75,0.85,115
579,Soy Milk,53,4.21,0.28,6.94,8.81,0.09,6.38,0.38,112
580,Soy Milk,73,5.33,2.29,11.28,7.33,0.13,2.83,0.97,80
581,Almond Milk,71,0.63,4.83,10.63,3.47,0.27,6.24,0.07,131
582,Soy Milk,52,4.07,0.14,9.6,4.85,0.01,5.28,0.82,138
583,Oat Milk,77,2.02,0.85,2.36,5.51,0.02,7.06,0.38,85
584,Skim Milk,60,3.48,3.37,4.6,3.7,0.86,1.06,0.02,98
585,Soy Milk,65,7.97,0.39,7.66,6.77,0.63,3.93,0.28,102
586,Skim Milk,51,5.24,0.21,7.84,7.84,0.08,3.8,0.01,99
587,Cashew Milk,47,5.09,1.08,4.32,3.14,0.58,3.71,0.85,102
588,Skim Milk,71,6.84,3.46,7.35,7.32,0.95,7.5,0.21,144
589,Skim Milk,60,6.94,3.51,1.62,4.29,0.61,2.9,0.26,131
590,Soy Milk,42,4.38,0.24,6.64,5.67,0.27,6.97,0.44,96
591,Almond Milk,51,2.26,1.14,6.72,5.83,0.77,4.88,0.34,84
592,2% Milk,61,2.45,2.65,4.27,5.54,0.36,2.38,0.22,118
593,Cashew Milk,71,3.92,4.57,1.13,2.33,0.57,4.24,0.23,104
594,Almond Milk,52,1.49,4.1,6.55,6.1,0.87,3.96,0.2,146
595,Oat Milk,68,2.22,4.45,11.25,3.11,0.33,6.89,0.34,122
596,Almond Milk,58,2.57,4.99,7.62,3.08,0.57,6.03,0.27,126
597,Almond Milk,65,4.11,1.61,2.18,8.74,0.11,5.77,0.04,85
598,Whole Milk,69,2.44,1.76,5.87,8.93,0.42,3.82,0.11,101
599,Coconut Milk,65,2.92,3.15,7.01,2.14,0.41,1.7,0.78,126
600,Skim Milk,63,5.4,0.53,9.56,7.07,0.51,1.61,0.19,83
601,Whole Milk,64,4.63,2.99,11.09,5.96,0.7,4.68,0.7,149
602,2% Milk,75,1.07,0.5,8.86,5.23,0.54,5.97,0.86,139
603,Coconut Milk,73,2.74,2.25,9.06,3.73,0.47,2.85,0.62,83
604,Cashew Milk,56,7.04,3.66,4.35,1.4,0.24,1.98,0.23,87
605,Skim Milk,45,0.67,2.75,3.27,7.78,0.89,3.35,0.54,142
606,Oat Milk,63,4.07,1.48,1.53,9.95,0.51,3.49,0.83,82
607,Coconut Milk,68,6.42,1.85,1.57,0.59,0.59,3.42,0.13,88
608,Soy Milk,44,7.22,1.99,10.99,9.65,0.8,2.63,0.22,107
609,Almond Milk,66,5.2,3.11,4.18,6.08,0.32,1.55,0.82,139
610,Coconut Milk,76,6.65,3.1,2.41,1.45,0.24,2.97,0.33,80
611,Whole Milk,76,5.04,3.39,8.69,2.1,0.25,7.09,0.96,114
612,Whole Milk,54,7.73,2.99,1.9,5.05,0.25,7.94,0.31,98
613,Coconut Milk,53,4.17,4.81,4.27,0.66,0.16,7.56,0.17,92
614,Soy Milk,47,1.06,0.58,4.09,1.81,0.48,7.69,0.55,114
615,Skim Milk,56,2.42,2.9,4.96,5.42,0.54,7.06,0.93,150
616,Almond Milk,40,4.88,2.04,1.68,4.32,0.39,2.88,0.01,148
617,2% Milk,46,3.73,3.49,10.04,1.96,0.96,3.88,0.62,115
618,2% Milk,52,7.51,4.15,5.64,7.22,0.84,7.81,0.96,86
619,Skim Milk,44,1.95,0.45,9.8,4.26,0.38,1.69,0.27,130
620,Soy Milk,64,5.49,4.76,5.25,7.09,0.01,6.58,0.7,97
621,Soy Milk,49,5.79,4.17,10.25,6.72,0.76,1.4,0.31,91
622,Soy Milk,79,1.49,2.62,3.34,1.96,0.23,3.48,0.79,132
623,Almond Milk,47,4.35,4.67,2.5,3.91,0.62,6.71,0.92,120
624,Coconut Milk,79,3.26,1.55,7.81,1.62,0.46,1.32,0.67,97
625,Cashew Milk,75,2.01,4.59,6.21,9.23,0.4,7.85,0.41,93
626,Cashew Milk,49,7.23,3.67,5.12,7.32,0.25,5.06,0.12,118
627,Cashew Milk,52,7.45,4.53,5.67,6.51,0.39,4.85,0.28,141
628,Coconut Milk,44,0.64,3.55,1.21,4.53,0.13,6.61,0.28,111
629,Coconut Milk,70,4.04,3.21,4.77,6.59,0.1,6.89,0.77,83
630,2% Milk,58,6.79,3.38,4.09,5.93,0.62,6.15,0.64,116
631,Soy Milk,55,3.78,1.24,6.11,4.02,0.81,1.07,0.59,129
632,Oat Milk,72,3.99,4.54,11.75,5.5,0.29,5.8,0.43,136
633,Skim Milk,76,0.9,3.44,2.56,6.38,0.79,3.83,0.47,96
634,Oat Milk,58,2.93,2.66,5.96,7.48,0.14,3.24,0.72,93
635,Soy Milk,65,1.54,1.64,7.25,8.93,0.67,6.86,0.27,123
636,2% Milk,67,5.21,0.43,1.77,4.49,0.28,1.39,0.87,98
637,Cashew Milk,77,5.41,4.23,4.79,6.17,0.89,7.34,0.07,127
638,Oat Milk,56,6.96,0.33,4.54,1.05,0.54,4.34,0.1,131
639,Cashew Milk,60,7.11,4.19,5.76,7.57,0.08,4.04,0.08,127
640,Coconut Milk,44,7.79,0.3,1.13,2.77,0.67,3.66,0.35,96
641,Oat Milk,42,5.62,1.24,6.08,6.15,0.05,6.1,0.94,91
642,Oat Milk,68,5.68,3.87,3.57,4.78,0.61,5.48,0.45,120
643,Whole Milk,53,2.75,3.56,5.08,7.65,0.54,7.05,0.36,94
644,Soy Milk,42,1.6,1.35,2.41,5.56,0.48,3.62,0.38,140
645,Skim Milk,57,3.87,3.01,3.12,8.64,0.99,1.22,0.62,127
646,Cashew Milk,47,4.74,1.17,2.53,5.6,0.69,4.37,0.65,148
647,Soy Milk,71,3.85,3.96,2.32,7.22,0.71,6.37,0.04,80
648,Coconut Milk,53,2.13,2.55,5.93,3.25,0.86,3.66,0.03,86
649,Almond Milk,43,5.21,0.24,7.09,6.86,0.46,2.81,0.05,102
650,Coconut Milk,70,5.79,0.71,5.38,2.66,0.96,3.3,0.19,142
651,Skim Milk,53,4.71,0.75,10.52,7.29,0.5,4.58,0.99,90
652,Oat Milk,78,4.33,0.62,7.08,6.85,0.56,4.18,0.11,130
653,Soy Milk,79,0.56,2.93,8.46,9.62,0.85,4.08,0.59,135
654,Whole Milk,78,6.23,3.08,3.66,8.03,0.62,7.57,0.65,93
655,Skim Milk,42,5.84,1.79,8.82,3.88,0.09,4.59,0.36,82
656,Skim Milk,47,7.5,3.61,3.17,9.16,0.25,7.56,0.35,89
657,Whole Milk,56,4.03,0.42,1.42,5.9,0.22,1.41,0.44,88
658,Whole Milk,48,0.57,4.89,7.17,3.95,0.72,6.62,0.86,147
659,Oat Milk,57,5.9,2.51,5.25,8.54,0.81,5.21,0.2,134
660,Whole Milk,74,2.81,3.71,7.02,2.37,0.39,6.71,0.37,103
661,Soy Milk,61,2.07,4.42,1.61,9.91,0.77,6.5,0.95,139
662,Oat Milk,46,4.9,4.51,5.45,1.72,0.92,5.92,0.85,83
663,Oat Milk,67,4.38,2.65,6.4,4.79,0.13,2.27,0.53,82
664,Whole Milk,63,6.16,1.73,1.46,9.0,0.88,6.49,0.53,146
665,2% Milk,41,3.64,4.43,3.17,4.21,0.18,5.53,0.04,150
666,Cashew Milk,63,2.11,2.66,10.75,8.3,0.88,4.74,0.95,145
667,Cashew Milk,68,4.93,2.67,6.67,9.38,0.41,6.55,0.7,125
668,Skim Milk,59,6.72,1.68,9.58,2.18,0.37,1.56,0.28,95
669,Soy Milk,72,4.89,3.99,9.03,4.3,0.24,5.88,0.44,83
670,Cashew Milk,58,2.6,3.83,11.49,10.0,0.35,1.94,0.73,111
671,Soy Milk,71,7.96,4.88,8.63,4.3,0.77,5.12,0.76,84
672,Coconut Milk,62,3.03,2.22,6.04,7.33,0.19,5.9,0.13,84
673,Skim Milk,65,5.81,0.15,2.84,7.95,0.64,6.68,0.61,116
674,Soy Milk,70,4.4,0.78,9.23,5.86,0.49,4.94,0.74,132
